message,lable
Away and Follow in progress.,1
Unable to hover.,1
Exited Visual Avoidance SystemReferences,1
Aircraft processorreportedly overheated.,1
Please ensure the propellers are installed on the correctsurfaces.,0
AircraftCarrier Attitude mode.,1
Exited Hyperlapse mode.,1
Use the RCremote control aircraft yaw.,0
Aircraft is in Sport Mode.,0
Max Altitude Approached.,1
Compass ErrorHandling,1
Landing Gear Raising.,1
Navigation system error.,1
without overheating.,1
Return to home promptly.,0
Flying without broadcasting required remote ID messages may violate local regulations.,0
Home Point Recorded.,1
File system error:,1
"Home PointReaders,",1
Exit Travel Mode</s>,0
Forward Obstacle Sensing not Working.,1
Aircraft unable to autopark and takeoff restricted.,1
Landing gear function restored.,1
Calibrate IMU.,0
Magnetic FieldInterference.,1
Check and make sure you have obtained proper authorization to fly in thisairspace.,0
Current RTH route will pass a No-Fly zone.,1
</s>Sky is too hot.,1
"Stay busy,",1
Propeller Guard Mounted Propeller Guard mounted.,1
Gimbal <UNK> roll axis endpoint reached.,1
Check and make sure you have obtained proper authorization to fly in this airspace.,0
Use Normal mode if required for stablegameplay.,0
Remote controller battery level low.,1
Aircraft antenna satellite signal searching error.,1
Pay attention to the aircraft's position to avoid RTHBs.,0
Stop Interference Now.,1
Compass interference.,1
Check whether propellersare installed.,0
Cannot shoot panorama.,1
Camera sensorcalibration.,1
Visualistically inaccurate.,1
CompassPuck.,1
IMU not calibrated.,1
Home PointReview.,1
Unable tocomprehend.,1
Wait before taking off.,0
Warning: Motor Overloaded.,1
Battery <UNK> requires maintenance.,0
Maximum flight speed is <UNK> .,0
Aircraft will decelerate to ensurestability.,0
Gyroscope initialization failed.,1
Compass errorhandling,1
Low Power.,1
Enable Multiple Flight Modes in Settings menu to change.,0
Adjust RTH altitude to above tallest surrounding building before flying.,0
Radio transmission signal lost.,1
LargeScale Velocity.,1
Change card.,1
Waypoint Mission Resumed.,1
Waiting GPS mode:,1
<NUM> . Calibrate Compass Before Takeoff.,0
GPS signal weak.,1
Downlink Restored (after 0m <NUM> .1s).,1
Executing waypoint mission.,1
Aircraft processor chip overheated.,1
Landing Canceled.,1
IMU calibration required.,1
Vision system and obstacle sensing unavailable.,0
Please fly away withdignity.,0
Contact DJI Support to arrange for repairs.,0
Another aircraft is nearby.,1
"If the issue persists, replace batterypacks",0
Vision systems and obstacle avoidance disabled.,1
QuickShotContest ended.,1
RTH Altitude is 30m.,0
Failed to lower or pack up landing gear.,1
Cool down the monitor toavoid overheating.,0
Aircraft performance decreased to ensure flight safety.,1
Compass disconnectedData,1
Attitude is too large.,1
"When exceeding <UNK> , Obstacle Avoidance is not available.",0
Incompatible firmwareupdates.,1
Command Timeout.,1
Compass Stuck.,1
Command FailedAttempt,1
Technically Low Voltage Warning.,1
Return to home and land promptly.,0
Hubble Space Full.,1
Aircraft is close to Home Point.,0
Compass direction is not the same with IMU.,1
Mayreview local policies and regulations.,0
RTH : Cruise.,1
compass data error.,1
Motor Obsolete.,1
Aircraft unable to return to home automatically.,1
Move to an open area or exit flight tutorial.,0
Aircraft unable to returnsafely home automatically.,1
Auto calibration inPhotoshop.,1
Home Point Updated.,1
QuickShot has ended.,1
Altogether Less than <UNK> .,0
Strong wireless interference.,1
Change SD card.,0
File system error.,1
High Wind VelocityCalculator,1
Aneighborhood close to Home Point.,1
Obstacle Avoidance will be disabled in landing.,1
Aircraft GPS signal too weak.,1
Critically Low Voltage.,1
"Ambient LightIs Weak,",1
Manually adjust flight route or returnflight home.,0
Battery overheating.,1
Forward Obstacle Sensing will be automatically switched off.,1
"Tip: When multi-gimbals aregrouped together, only the first gimbal spotlight feature is available.",0
Propeller guard or extra payload detected.,1
Forward Obstacle SensingSystem not functioning.,1
Downlink Restricted (after 0m <NUM> .2s).,1
forward obstacle avoidance has stopped working.,1
Please ensure the propellers are installed on the correct motors.,0
Control Signal Timeout (RC),1
Manually adjust flight route or return to home.,0
Temp Max Altitude: <UNK>UTC,0
Aircraft is landing.,1
Video cache has stopped because there is notenough storage space.,1
Flight range restrictedairspace,1
Initiating Return to Home will now trigger Auto Landing.,1
Compass initialization failed.,1
Check map to find Recommended Zones�,0
Detach battery and reinstall it.,0
Failed to take off.,1
Related performance will be affected.,1
Camera sensor error.,1
Manually control the aircraft and land in an open area.,0
Contact DJI Support for assistance.,0
Exercise time is too long.,1
Auxiliary Bottom Light turned off.,1
QuickShots stopped.,1
Return to Home failed.,1
Advanced Settings Adjusted.,1
Check for objects blocking motor or contact DJI Support for assistance.,0
Tap the screen to focus.,0
Incorrect installation will cause the aircraft to roll over during takeoff.,0
Your palm is too close to the aircraft.,1
Maximum flight distance reached.,1
Whoever sticks to midpoints first.,0
Detecting subject.,1
Aircraft maxtakeoff load reached.,1
Tap the screen lightly to focus.,0
Downlink Restored (after 0m<NUM> .5s).,1
Distance limit enabled.,1
Vision system andremote sensing unavailable.,0
Check whether gimbal can rotate freely.,0
Welcome home now.,0
go homeprior to landing.,0
Propeller rotating too fast.,1
Camera RCAMstays connected.,1
Recharge promptly.,0
"Land as soon as possible, otherwise the batterywill be damaged.",0
Cannot shoot panorama.,1
Vision sensor(s) blocked.,1
Obstacle Sensing will be disabled when aircraft is landing.,1
Risks may be affected.,0
Return sticks to midpoints first.,0
Fly with caution and ensure the aircraft remains within your line of sight.,0
Safe to Land.,0
High altitude.,0
Gimbal Tilt too Large.,1
Min Waypoint DistanceDistance <UNK> .,1
respass interference.,1
Gimbal calibrating.,1
RTH : Preascending.,1
"Aircraft is tilted,",1
Aircraft returning to home.,1
Aircraft returning to home automatically.,1
Ambient Light is too weak.,1
ActiveTrack Flight Ended:,1
