message,lable
Manned aircraft approaching.,1
"If the issue persists, replace battery.",0
Calibration subject is too close.,1
Warning: Command Timeout.,1
Adjust remote controller antennas.,0
Adjust RTH altitude to above tallest surrounding building before flying.,0
Battery error.,1
Downlink Restored (after 0m <NUM> .6s).,1
API Automatic Takeoff.,1
Subject too Small.,0
Failed to cancel Return to Home.,1
Please fly away with caution.,0
go home shifts to landing.,0
Flight performance will be affected.,1
Battery: Low Voltage Protection.,1
Aircraft processor chip overheated.,1
The aircraft is flying back to the start point.,1
Remote ID functionality normal.,1
Exit this mode and try again.,0
Compass direction is not the same with IMU.,1
Aircraft unable to fly stably.,1
Right Dial Locked.,1
Recharge promptly.,0
Recenter Gimbal Pan.,0
"Unknown Error,",1
Aircraft Landing.,1
RTH Altitude : 30m.,0
Vision system and obstacle sensing unavailable.,0
Check whether propeller on beeping ESC is warped or damaged.,0
Compass error.,1
Ambient Light is too weak.,1
"Tip: When multi-gimbals are controlled together, only the first gimbal spotlight feature is available.",0
Approaching a No-Fly Zone.,1
Aircraft unable to return to home automatically.,1
The gimbal is moving.,1
Landing Gear Raising.,1
Propeller rotating too fast.,1
Ensure you have obtained proper airspace authorization.,0
Aircraft is in Sport Mode.,0
Switched to A (Attitude)-mode.,1
Image quality affected.,1
Camera storage full.,1
Sprayer turned ON.,1
Waypoint Mission Resumed.,1
Forward Obstacle Sensing will be automatically switched off.,1
Strong Interference Detected.,1
"Tip: Aircraft reached maximum distance, please pay attention to flight safety.",0
Aircraft is returning home.,1
Forward Obstacle Sensing not Working.,1
Aircraft is in Tripod Mode.,0
Battery overheating.,1
Warning: Critically low battery.,1
You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,0
Altitude Less than <UNK> .,0
Aircraft is landing.,1
Aircraft is in QuickShot Mode.,0
Another aircraft is approaching.,1
"Please switch to Normal mode, then back to S-mode to enable it.",0
Arrived at destination.,1
Aircraft is close to the Home Point.,1
Check whether gimbal can rotate freely.,0
Switched to S (Sport)-mode.,1
Downlink Restored (after 0m <NUM> .9s).,1
Setting new Maximum Flight Altitude to <UNK> .,1
"Another aircraft is dangerously close,",1
Descending.,1
Downlink Restored (after 0m <NUM> .7s).,1
